,Cloudiness,Country,Humidity,Latitude,Max temp,Windspeed,city
168,0,RU,53,54.81,42.5,2.73,zhigalovo
169,8,PE,88,-13.71,64.4,3.36,pisco
170,24,AR,74,-29.41,71.12,3.13,la rioja
171,75,NO,75,62.91,44.6,19.46,bud
172,44,CN,98,35.63,62.66,1.34,houma
173,40,BR,94,-4.26,78.8,2.84,itaituba
174,1,CA,55,45.36,39.2,8.05,saint-philippe
175,0,SE,27,59.37,62.6,16.11,eskilstuna
176,0,RU,68,66.32,1.55,2.51,egvekinot
177,90,US,93,55.34,39.2,3.36,ketchikan
178,8,NO,100,70.86,29.54,10.56,berlevag
179,75,EC,87,-0.39,53.6,1.12,san cristobal
180,5,MX,100,20.71,68.0,3.36,ixtapa
181,0,MM,57,22.92,76.7,2.01,mogok
182,0,AU,36,-20.74,81.11,7.54,karratha
183,92,GY,98,3.36,74.27,2.84,bonfim
184,92,MN,39,47.25,40.43,10.07,bayan
185,90,US,86,43.71,37.4,3.36,mitchell
186,68,CU,93,22.9,72.83,6.76,bahia honda
187,68,RU,63,50.72,38.54,6.82,solnechnyy
188,75,GL,92,60.91,41.0,4.7,narsaq
189,75,MY,94,6.35,78.8,3.74,kota belud
190,90,IS,75,64.25,46.4,9.17,hofn
191,92,CL,93,-41.87,53.57,7.09,ancud
192,75,HN,100,15.09,75.2,2.39,amapa
193,90,CA,100,51.26,15.8,2.24,moose factory
194,100,CN,99,35.41,68.87,5.3,jining
195,1,CA,79,49.78,23.0,8.05,chapais
196,90,US,39,39.95,50.0,11.41,kodiak
197,20,BR,78,-18.5,78.95,4.29,coxim
198,92,MV,100,2.67,83.0,8.1,kudahuvadhoo
199,0,FR,29,45.62,78.8,8.05,royan
200,75,BR,83,-3.13,78.8,3.36,manaus
201,0,SO,57,11.47,87.23,2.62,qandala
202,90,US,87,36.97,51.8,1.9,santa cruz
203,0,RU,64,64.73,9.2,6.42,anadyr
204,44,GL,100,72.79,17.21,10.56,upernavik
205,36,CK,99,-21.21,79.31,15.88,avarua
206,5,MX,78,16.86,78.8,3.36,acapulco
207,68,PG,98,-4.06,77.33,2.91,angoram
208,20,GR,33,39.42,71.6,10.29,chara
209,0,NE,14,18.69,105.59,5.75,bilma
210,80,ID,100,-4.94,80.48,4.14,katobu
211,0,PY,74,-22.35,78.32,8.39,filadelfia
212,92,MV,100,-0.6,83.63,15.93,hithadhoo
213,76,RU,60,61.28,37.82,10.11,yerbogachen
214,75,NO,76,61.99,48.2,9.17,raudeberg
215,0,SL,65,7.99,88.4,6.42,daru
216,88,PG,99,-10.62,83.27,9.55,samarai
217,0,ZA,24,-29.67,80.48,5.03,prieska
218,40,US,70,36.85,48.2,8.05,virginia beach
219,0,BJ,72,9.0,90.11,9.28,bassila
220,0,CV,97,14.9,70.22,14.7,sao filipe
221,40,PT,72,33.08,66.2,23.04,camacha
222,0,RU,44,55.89,39.2,11.18,tyulyachi
223,12,YE,32,13.92,82.37,4.29,jiblah
224,0,LV,76,57.39,48.2,12.75,ventspils
225,44,TM,43,39.2,73.91,9.06,gumdag
226,64,VE,74,9.06,81.47,4.14,tucupita
227,24,ET,86,7.14,70.76,4.07,ginir
228,20,NZ,71,-39.94,58.43,24.2,waipawa
229,44,MX,74,28.71,63.38,9.95,eagle pass
230,1,US,52,42.32,41.0,4.7,battle creek
231,20,IN,90,34.16,19.55,1.39,leh
232,0,SE,46,57.79,60.8,13.87,dalvik
233,90,US,93,30.3,62.6,3.36,harper
234,88,UY,100,-33.69,68.78,13.09,chuy
235,0,FR,39,46.99,80.6,5.82,nevers
236,75,CR,64,9.43,73.4,10.29,quepos
237,1,US,60,47.5,41.0,12.75,great falls
238,0,AO,28,-13.73,83.54,12.8,caconda
239,88,PG,94,-3.55,78.86,2.51,wewak
240,75,PT,72,32.63,64.4,16.11,camara de lobos
241,12,PG,96,-6.6,73.1,2.35,finschhafen
242,0,IT,44,41.89,77.0,8.05,roma
243,44,PG,96,-6.21,76.79,3.8,kandrian
244,48,CN,95,29.72,69.68,8.66,dongsheng
245,75,US,43,47.13,51.8,16.11,moses lake
246,32,BR,86,-1.2,84.08,7.27,carutapera
247,20,CN,58,40.71,57.2,13.42,zhuhai
248,75,US,85,64.84,19.4,7.54,fairbanks
249,100,IN,95,28.17,63.2,1.61,along
250,48,GL,89,60.14,34.31,8.88,nanortalik
251,64,RU,77,64.57,13.43,2.01,ust-nera
252,64,RU,86,66.56,17.75,10.89,aksarka
253,75,DO,100,19.55,77.0,9.17,mao
254,0,CF,17,10.3,105.05,5.82,birao
255,0,AR,93,-36.62,64.28,3.8,santa rosa
256,44,PH,74,11.0,82.28,10.67,dingle
257,88,RU,98,59.24,28.37,3.91,ossora
258,48,AU,51,-23.53,76.43,11.68,emerald
259,76,FO,95,61.47,46.37,13.47,vagur
260,75,US,85,64.86,19.4,7.54,college
261,0,NG,28,10.41,101.09,5.64,bara
262,0,RO,69,45.1,66.44,7.38,manta
263,0,RU,40,50.63,37.91,2.13,ulagan
264,0,IN,71,12.2,91.1,10.56,marakkanam
265,80,NZ,88,-46.28,44.48,18.68,kaitangata
266,88,BR,95,-23.01,64.73,2.01,angra dos reis
267,88,RU,98,61.68,37.01,13.47,baykit
268,0,CN,38,52.34,36.74,4.41,tahe
269,68,RU,84,71.98,22.97,18.57,khatanga
270,24,AU,78,-16.92,75.2,6.93,cairns
271,75,NO,76,61.6,48.2,9.17,floro
272,20,TH,62,13.57,87.8,11.41,bang bo
273,24,MX,23,28.39,52.85,7.94,lazaro cardenas
274,44,AU,90,-38.16,52.22,1.23,warragul
275,80,RU,88,61.92,31.97,10.85,evensk
276,40,CA,80,44.84,39.2,10.29,bridgetown
277,20,NC,96,-20.95,77.96,10.85,voh
278,64,RU,80,63.91,33.5,13.91,onega
279,75,SA,72,18.39,69.8,9.17,faya
280,40,MU,69,-20.01,82.4,14.99,grand gaube
281,0,BR,73,-26.24,71.6,3.36,sao francisco do sul
282,0,PL,58,54.31,59.51,22.41,goldap
283,5,CA,86,48.41,28.4,3.36,thunder bay
284,0,RU,52,50.52,42.14,6.31,nizhniy tsasuchey
285,0,AU,85,-20.07,68.06,4.63,charters towers
286,0,LY,28,29.14,88.04,15.32,awjilah
287,90,US,87,36.62,51.8,3.02,pacific grove
288,48,NC,88,-21.57,72.74,2.8,bourail
289,0,RU,35,53.53,38.27,4.36,klyuchevskiy
290,0,UZ,14,39.42,87.8,16.11,olot
291,0,SA,8,24.63,100.4,10.29,riyadh
292,64,ID,100,-0.92,82.19,4.07,padang
293,0,SN,78,14.83,71.6,11.41,thies
294,80,RU,88,71.64,24.05,3.06,tiksi
295,0,CN,60,47.83,41.33,0.38,altay
296,40,BB,88,13.07,77.0,20.8,oistins
297,64,RU,53,62.65,27.74,5.64,khandyga
298,0,EE,72,59.1,48.89,14.7,vao
299,20,VE,88,10.49,73.4,3.13,moron
300,75,PT,82,37.73,62.6,12.75,ponta delgada
301,76,ID,100,4.14,80.75,3.58,meulaboh
302,88,CN,26,40.29,60.95,7.76,yumen
303,0,MR,40,20.93,71.6,20.8,nouadhibou
304,40,MU,69,-20.41,82.4,14.99,mahebourg
305,0,IT,52,40.82,69.8,9.17,gravina in puglia
306,36,RU,83,62.53,15.41,2.35,omsukchan
307,48,MX,96,27.97,51.68,2.57,guerrero negro
308,0,HU,33,48.47,75.2,10.29,gonc
309,0,KZ,37,50.41,61.85,8.39,semey
310,0,AO,67,-8.42,86.51,4.41,lucapa
311,0,ML,14,18.44,94.97,7.38,kidal
312,40,ES,52,28.66,69.8,9.17,los llanos de aridane
313,0,AR,63,-33.01,64.4,4.7,russell
314,0,IT,30,45.18,80.6,5.82,vila
315,76,SO,100,3.81,77.51,5.03,wajid
316,90,US,81,45.52,50.0,3.36,portland
317,0,RU,52,51.85,42.95,6.26,shilka
318,0,DE,49,51.26,73.4,8.05,baunatal
319,75,ES,52,27.99,68.0,9.17,telde
320,0,BG,75,43.62,65.18,7.09,kaolinovo
321,0,CD,62,-6.42,88.31,2.73,tshikapa
322,20,NG,80,7.97,86.33,8.84,iseyin
323,92,CN,25,42.84,67.07,7.38,hami
324,40,PF,74,-17.73,78.8,4.7,tautira
325,90,CL,93,-29.95,51.8,2.24,coquimbo
326,76,RU,92,66.83,16.4,16.93,yar-sale
327,20,MX,82,25.08,60.8,2.24,pericos
328,80,KZ,87,49.15,52.94,12.41,shubarkuduk
329,92,CN,89,37.16,56.0,12.68,rongcheng
330,12,RU,56,46.45,41.51,4.59,vostok
331,0,CN,91,27.66,69.5,3.58,lengshuijiang
332,0,JP,77,35.73,62.6,4.7,hasaki
333,0,AR,80,-33.3,57.53,2.8,san luis
334,8,CN,42,38.52,57.35,6.6,jinchang
335,32,ID,89,-8.45,79.85,3.29,bima
336,20,IE,58,51.55,57.2,8.05,skibbereen
337,75,AM,45,40.74,46.4,5.82,margahovit
338,0,UZ,13,39.5,77.0,6.93,panjakent
339,0,AF,16,32.93,58.52,2.73,uruzgan
340,8,CA,80,49.63,36.02,9.17,assiniboia
341,75,CA,59,53.65,37.4,8.05,mackay
342,8,SO,100,5.35,84.17,5.93,hobyo
343,5,SA,15,26.33,96.8,3.36,buraydah
344,5,MX,78,16.99,78.8,3.36,tecoanapa
345,92,CA,98,54.23,30.62,2.13,burns lake
346,92,PG,98,-6.02,59.78,1.83,kundiawa
347,20,PE,83,-11.71,35.3,3.8,chicla
348,40,PF,74,-17.55,78.8,4.7,afareaitu
349,1,US,75,39.15,46.4,2.51,ukiah
350,64,ID,94,-2.42,77.06,2.13,amuntai
351,40,CL,87,-45.58,44.6,4.7,coihaique
352,92,TR,68,40.73,46.73,3.85,bolu
353,40,MU,69,-20.21,82.4,14.99,quatre cocos
354,0,FR,36,44.83,78.8,10.29,saint-augustin
355,48,JP,53,44.01,57.98,11.3,abashiri
356,88,GT,100,14.97,65.99,2.28,la union
357,75,US,46,36.19,50.0,5.82,springdale
358,0,GB,56,53.7,68.0,4.7,holme
359,12,RU,73,53.05,24.8,4.47,petropavlovsk-kamchatskiy
360,0,CA,71,46.12,31.61,5.37,saint-georges
361,44,SE,61,61.01,48.44,9.06,mora
362,8,TM,14,36.54,93.2,6.93,sarakhs
363,12,NZ,74,-45.87,43.31,18.39,dunedin
364,1,US,49,32.9,46.4,12.75,alamogordo
365,0,FR,42,46.57,80.6,4.7,yzeure
366,90,CL,87,-23.65,60.8,6.93,antofagasta
367,68,WS,100,-13.87,83.9,7.09,lufilufi
368,0,DZ,14,27.87,87.8,11.41,adrar
369,0,SO,100,9.49,83.81,6.6,bandarbeyla
370,48,PH,88,7.2,76.25,2.73,carmen
371,0,GM,42,13.18,84.2,11.41,gunjur
372,36,TM,26,39.24,76.97,7.83,gazanjyk
373,0,ZA,26,-30.97,74.9,10.45,carnarvon
374,20,CA,78,60.82,17.6,12.75,hay river
375,1,CA,50,49.12,33.8,6.93,chute-aux-outardes
376,1,US,67,42.14,35.6,5.82,corning
377,75,RU,42,55.97,69.8,24.61,lesnyye polyany
378,0,AR,87,-39.03,51.8,3.02,general roca
379,76,ID,100,-3.31,79.04,3.91,amahai
380,0,SD,50,19.1,92.18,8.84,sawakin
381,0,RU,30,48.79,48.35,8.84,birobidzhan
382,20,IN,66,20.27,91.4,17.22,jagatsinghapur
383,40,MU,69,-20.34,82.4,14.99,bambous virieux
384,0,MX,75,23.99,46.01,2.8,constitucion
385,40,PT,68,38.52,66.2,10.29,ribeira grande
386,90,US,72,31.21,59.0,4.7,waycross
387,0,FR,44,48.38,82.4,11.41,plouzane
388,92,RU,61,62.11,32.06,10.78,shenkursk
389,76,PG,100,-6.22,78.32,3.58,kieta
390,1,US,77,21.35,73.4,5.82,makakilo city
391,90,EE,53,58.82,51.8,17.22,torma
392,0,AR,53,-45.87,51.8,6.93,comodoro rivadavia
393,0,CA,82,50.14,27.74,9.06,moosomin
394,48,PG,100,-2.67,84.35,13.8,vanimo
395,24,PE,93,-11.1,63.02,3.51,hualmay
396,88,ID,90,-2.54,77.6,2.01,labuhan
397,68,RU,71,55.79,53.75,15.1,talaya
398,8,BR,98,-0.61,82.91,11.68,salinopolis
399,0,IN,18,22.19,94.34,9.28,parasia
400,0,CF,50,5.04,92.99,15.48,alindao
401,75,US,83,28.41,77.0,11.41,cape canaveral
402,0,ML,13,22.68,98.21,11.56,taoudenni
403,36,RU,81,63.2,17.66,11.56,noyabrsk
404,0,SD,13,14.2,95.96,3.58,kutum
405,12,MX,12,27.69,61.94,9.55,camargo
406,0,BE,68,51.33,71.6,6.93,knokke-heist
407,8,BR,89,-1.75,80.48,2.57,porto de moz
408,20,US,66,31.85,57.2,12.75,odessa
409,20,TZ,65,-2.52,78.8,10.29,mwanza
410,75,IS,87,63.84,48.2,9.17,grindavik
411,75,PW,78,7.04,82.4,8.05,kloulklubed
412,1,US,78,21.39,73.4,8.05,kailua
413,75,MX,72,22.89,68.0,6.31,cabo san lucas
414,64,RU,63,49.23,58.88,10.56,bokovskaya
415,20,US,76,34.88,51.8,6.93,havelock
416,0,MR,30,16.65,86.0,2.24,podor
417,90,CL,87,-27.37,55.4,5.82,copiapo
418,1,US,76,32.65,51.8,6.04,opelika
419,75,BR,74,-3.71,84.2,12.75,vila velha
420,90,CL,93,-29.9,51.8,2.24,la serena
421,1,US,87,37.46,51.8,3.36,half moon bay
422,24,BR,80,-3.77,80.66,3.02,tucurui
423,20,ES,29,37.46,78.8,20.8,alcala la real
424,0,JP,72,31.42,62.6,6.93,kaseda
425,0,AR,60,-43.3,45.29,2.8,rawson
426,40,IR,62,38.08,51.8,40.26,tabriz
427,40,PA,83,9.55,80.6,4.7,portobelo
428,80,RU,84,67.8,22.25,1.12,batagay-alyta
429,0,PE,64,-15.11,33.8,3.58,chupa
430,0,RS,33,44.82,73.4,3.36,belgrade
431,44,RU,85,65.4,18.2,10.29,muzhi
432,0,NA,29,-18.06,88.22,7.05,opuwo
433,0,IN,26,19.85,93.26,10.45,sinnar
434,20,ZW,37,-20.16,82.19,6.64,bulawayo
435,90,KZ,92,52.96,35.6,17.9,rudnyy
436,40,GB,67,56.56,62.6,5.82,newtyle
437,56,RU,93,65.96,13.34,13.09,urengoy
438,0,AU,95,-13.85,84.71,12.68,alyangula
439,48,BR,92,-9.62,79.31,16.22,remanso
440,92,YE,40,15.17,70.58,1.39,sayyan
441,0,MX,88,23.77,70.67,10.85,soto la marina
442,64,PF,100,-22.43,77.06,16.44,moerai
443,76,MN,64,49.03,44.03,2.84,erdenet
444,92,NZ,100,-46.13,48.26,18.61,tuatapere
445,20,IN,100,10.57,86.51,8.05,kavaratti
446,1,US,50,35.39,51.8,10.29,fort smith
447,8,RU,88,67.46,21.17,3.8,srednekolymsk
448,80,RU,53,63.29,35.21,7.43,nyurba
449,36,BR,99,-8.9,79.67,5.37,sao jose da coroa grande
450,0,ES,43,37.47,78.8,3.36,cabra
451,0,ZW,46,-20.94,83.27,5.59,gwanda
452,40,BB,88,13.22,77.0,20.8,bathsheba
453,0,ZM,35,-14.8,86.51,11.56,kaoma
454,64,CN,33,26.59,76.07,6.04,panzhihua
455,90,ES,93,28.48,69.8,14.99,tacoronte
456,1,US,93,40.8,44.6,5.82,eureka
457,20,IL,64,31.8,73.4,17.22,gizo
458,75,TR,55,38.73,50.0,13.87,kayseri
459,20,EG,60,31.35,68.0,14.99,marsa matruh
460,75,CY,64,34.92,71.6,10.29,lasa
461,48,RU,87,69.49,15.68,8.43,talnakh
462,76,ID,91,-0.69,72.56,1.9,sijunjung
463,40,SY,29,33.97,75.2,29.97,yabrud
464,0,RS,33,43.52,73.4,4.7,mana
465,88,PE,100,-17.17,67.07,6.08,punta de bombon
466,56,GH,59,9.63,92.81,12.35,savelugu
467,36,GA,61,-1.9,83.0,3.02,mbigou
468,8,AU,100,-37.81,57.2,4.7,montrose
469,75,BR,69,-21.64,77.0,4.7,sao joao da barra
470,80,RU,70,53.19,53.75,19.35,kamenka
471,36,RU,70,62.72,8.93,2.51,kholodnyy
472,0,ML,18,20.2,92.45,5.26,tessalit
473,20,PT,72,38.73,64.4,12.91,praia da vitoria
474,44,MM,39,18.82,93.8,4.25,pyay
475,20,ES,46,42.57,69.8,6.93,jaca
476,0,CL,87,-33.73,50.0,2.24,buin
477,36,NG,88,7.9,83.27,10.56,shaki
478,0,CN,58,25.6,65.45,4.52,dali
479,40,MU,69,-19.98,82.4,14.99,cap malheureux
480,0,AU,91,-37.83,55.91,3.91,mount gambier
481,64,RU,50,61.68,26.3,4.29,kommunisticheskiy
482,20,AU,87,-33.28,57.08,6.31,orange
483,20,ID,89,-8.49,81.38,11.86,merauke
484,0,RU,68,55.78,28.28,2.62,nizhneangarsk
485,90,US,88,25.87,75.2,14.99,matamoros
486,92,CO,99,3.87,74.36,2.51,inirida
487,32,ID,99,0.57,76.43,2.06,lamu
488,80,ID,97,-7.37,74.9,2.57,banjar
489,12,SE,63,61.35,49.52,10.78,bollnas
490,44,RU,47,63.46,30.8,3.85,koslan
491,56,RU,82,69.38,11.9,13.98,leningradskiy
492,20,ID,94,-0.95,80.21,3.74,luwuk
493,75,MA,63,34.02,62.6,5.82,rabat
494,76,NZ,97,-35.1,59.51,8.84,kaeo
495,1,US,59,45.75,33.8,6.93,escanaba
496,92,KZ,98,53.88,49.16,15.37,sergeyevka
497,44,CA,100,66.15,13.34,5.14,pangnirtung
498,20,JM,78,18.18,80.6,3.36,port antonio
499,75,PR,83,18.01,78.8,8.05,maunabo
